Row Labels,Trial Count,Max of Root Mean Square Error (RMSE),Average of Root Mean Square Error (RMSE)2
0.15,50,0.199744695,0.197034161
0.2,50,0.196932843,0.194105908
0.25,50,0.194689332,0.191181406
0.4,50,0.186438041,0.182401631
0.5,50,0.18500578,0.177411013
0.6,50,0.179333967,0.17241352
0.7,50,0.176214527,0.167493255
0.8,50,0.17213359,0.164023465
2,50,0.132336943,0.118533997
3,50,0.438376034,0.167053706
4,50,0.619808653,0.276696007
5,50,0.978635979,0.435784886
9,50,1.168350328,0.662396604
0.05,850,1.067993946,0.211616268
0,50,0.185077589,0.180860214
0.02,50,0.18449091,0.179906332
0.05,50,0.181363075,0.178240418
0.1,50,0.179606963,0.175887669
0.15,50,0.177143369,0.17395466
0.2,50,0.174630334,0.171989374
0.25,50,0.171735794,0.170467757
0.4,50,0.167531401,0.164833149
0.5,50,0.164905709,0.161696991
0.6,50,0.160803344,0.158273057
0.7,50,0.158837921,0.1550383
0.8,50,0.156214201,0.151590037
2,50,0.127480459,0.116127723
3,50,0.364972714,0.162705766
4,50,0.560680434,0.269247353
5,50,0.809669873,0.406775764
9,50,1.067993946,0.619881988
0.1,850,0.966295736,0.203092965
0,50,0.173175063,0.166051391
0.02,50,0.172327208,0.165622064
0.05,50,0.180092873,0.165273396
0.1,50,0.175014059,0.162922166
0.15,50,0.171089237,0.160855268
0.2,50,0.168318294,0.159248329
0.25,50,0.16578965,0.157955599
0.4,50,0.15700113,0.15358404
0.5,50,0.153961118,0.150471613
0.6,50,0.150423907,0.147087408
0.7,50,0.148347967,0.145168812
0.8,50,0.146086008,0.143336382
2,50,0.128159911,0.112299373
3,50,0.327207171,0.158169013
4,50,0.567933765,0.258488553
5,50,0.760115445,0.400268274
9,50,0.966295736,0.645778718
0.2,850,0.84086593,0.192094004
0,50,0.195859603,0.162150559
0.02,50,0.193443417,0.163009308
0.05,50,0.186370637,0.160468038
0.1,50,0.18317502,0.15916917
0.15,50,0.179619589,0.156848519
0.2,50,0.176766595,0.152466501
0.25,50,0.171963552,0.15135068
0.4,50,0.156582609,0.146017984
0.5,50,0.150686862,0.143533454
0.6,50,0.146944586,0.140022727
0.7,50,0.142276891,0.137753056
0.8,50,0.13996857,0.134731288
2,50,0.124451789,0.110393369
3,50,0.286552852,0.1399389
4,50,0.443639502,0.26580344
5,50,0.638887991,0.362624277
9,50,0.84086593,0.579316789
0.3,850,0.751822972,0.191184005
0,50,0.186252616,0.168371425
0.02,50,0.185375498,0.167206663
0.05,50,0.182313516,0.164285526
0.1,50,0.177394189,0.161675737
0.15,50,0.174092073,0.160865916
0.2,50,0.171208983,0.161187804
0.25,50,0.166586305,0.158245918
0.4,50,0.158495027,0.149698238
0.5,50,0.154183717,0.147237662
0.6,50,0.151991196,0.14305068
0.7,50,0.144619685,0.139868162
0.8,50,0.142875412,0.137238117
2,50,0.131714589,0.108715143
3,50,0.291026098,0.140067297
4,50,0.436820676,0.271931115
5,50,0.549289156,0.342050369
9,50,0.751822972,0.528432311
0.4,850,0.653664252,0.191676558
0,50,0.200123026,0.181580338
0.02,50,0.193879383,0.178621539
0.05,50,0.189483629,0.175046547
0.1,50,0.187883121,0.172448139
0.15,50,0.189581355,0.170583636
0.2,50,0.177870138,0.16635016
0.25,50,0.171336427,0.160020098
0.4,50,0.174799762,0.156143703
0.5,50,0.161666964,0.151250434
0.6,50,0.155433151,0.146690208
0.7,50,0.150248713,0.14311758
0.8,50,0.158576259,0.140320194
2,50,0.14205364,0.112710663
3,50,0.263069339,0.143641257
4,50,0.369408751,0.249345964
5,50,0.516310694,0.329349531
9,50,0.653664252,0.481281502
0.5,850,0.584998037,0.20049489
0,50,0.259946762,0.19993258
0.02,50,0.251508257,0.192494144
0.05,50,0.225085231,0.190518842
0.1,50,0.218944258,0.196364783
0.15,50,0.20950833,0.190056995
0.2,50,0.203305423,0.176118338
0.25,50,0.187544108,0.17168645
0.4,50,0.173675104,0.162960544
0.5,50,0.169989259,0.159085948
0.6,50,0.162239325,0.155658408
0.7,50,0.161458154,0.151866606
0.8,50,0.166675659,0.147142073
2,50,0.174782808,0.118414652
3,50,0.279214981,0.161403551
4,50,0.353301461,0.262559051
5,50,0.452986537,0.325762611
9,50,0.584998037,0.446387554
0.5,5950,1.032726517,0.200484395
0,850,1.032726517,0.210147052
0,50,0.163778074,0.161715909
0.02,50,0.163274016,0.161132784
0.05,50,0.162698426,0.160324884
0.1,50,0.161089752,0.159051998
0.15,50,0.159743505,0.157736156
0.2,50,0.158358382,0.156416287
0.25,50,0.157280992,0.155054383
0.4,50,0.153821342,0.150460108
0.5,50,0.151896407,0.147800989
0.6,50,0.148174684,0.144373692
0.7,50,0.147839317,0.141492693
0.8,50,0.14446687,0.139177028
2,50,0.154942039,0.112830603
3,50,0.403148536,0.192636179
4,50,0.825601485,0.336655804
